OverallQual,YearBuilt,GrLivArea,SalePrice
4,1960,894,141500
5,1959,864,118000
6,1959,864,127500
4,1957,1362,140000
5,1956,1728,177625
5,1958,1776,110000
6,1964,1516,167000
5,1961,1313,153000
5,1964,1292,145100
5,1966,1154,154000
5,1965,2140,177500
6,1964,1445,158000
5,1959,1041,124500
6,1961,1576,174500
5,1955,960,122000
4,1940,708,82500
5,1950,1203,110000
6,1953,1505,149500
6,1967,1691,175000
6,1953,1644,167000
5,1956,1050,128900
6,1950,1668,140000
5,1950,1113,147000
5,1967,1584,124000
6,1961,1453,187500
6,1963,1394,159000
6,1966,1567,256000
7,1965,1986,205000
6,1968,2142,193500
6,1968,1392,110000
4,1920,1738,104900
5,1956,1144,150000
6,1957,1478,156500
7,1960,1329,176000
6,1959,988,149500
6,1958,1632,139000
6,1958,1215,155000
5,1956,1202,120000
5,1955,1382,153000
4,1956,1200,144000
6,1962,1382,176000
5,1954,1297,153000
5,1958,1866,135000
6,1954,1062,131000
5,1953,1319,123000
5,1951,1112,126000
4,1955,1005,115000
5,1951,1363,164900
5,1945,793,113000
5,1952,1031,145500
5,1953,1210,102900
3,1900,1699,95000
7,1948,1527,152500
5,1950,1200,129900
6,1948,972,132000
3,1958,792,99900
5,1916,1656,135000
5,1939,1352,149000
4,1900,1039,114000
5,1924,792,109500
5,1925,1078,125000
4,1915,2377,142900
7,1910,1690,156500
2,1940,599,59000
4,1920,1374,105000
5,1920,846,106000
3,1890,725,78500
6,1969,2544,190000
6,1963,1380,154000
6,1967,1040,163000
5,1969,2634,200000
6,1958,951,143500
6,1957,1105,135000
5,1957,1306,153000
6,1960,1478,157500
6,1958,1142,113500
5,1949,1268,133000
3,1950,1040,92900
6,1950,1133,128500
4,1949,1040,90000
5,1950,1904,138000
5,1958,1041,128000
5,1958,1339,139000
5,1952,732,118900
5,1959,1183,138000
5,1959,1148,132500
4,1949,1461,133500
6,1948,1495,135000
6,1964,1806,144750
5,1978,941,145000
6,1963,1045,127000
5,1962,894,109500
6,1926,1224,115000
5,1910,1230,110000
6,1935,1378,128900
6,1910,1944,103500
5,1941,1131,66500
5,1910,1306,130000
5,1910,1464,129000
5,1939,1558,150000
5,1892,2372,107500
4,1920,1701,94550
5,1952,1960,124500
7,1946,1389,135000
5,1910,1447,103000
4,1953,936,93000
5,1950,1328,129500
5,1954,1387,93000
4,1920,861,80000
2,1940,612,45000
3,1910,968,37900
5,1938,886,91300
5,1923,792,99500
4,1920,1452,113000
4,1910,1510,87500
5,1947,1284,110000
5,1898,2138,106000
7,1880,2640,265979
6,1900,2007,160000
6,1917,1288,119000
8,1882,1742,168000
4,1910,816,58500
7,1920,1482,143000
5,1910,1022,85000
5,1890,1869,124900
6,1920,1480,119000
6,1910,1521,146500
4,1920,720,34900
3,1900,797,44000
5,1923,1576,223500
6,1923,1432,149000
7,1925,1548,205000
5,1930,1654,137000
6,1916,952,121000
4,1936,1324,128000
6,1937,1176,134900
5,1925,1348,117000
6,1939,1412,132500
5,1924,1142,93000
6,1926,904,119000
5,1924,1301,100000
5,1936,1539,141500
4,1935,1573,133000
2,1936,800,60000
5,1931,875,105000
5,1925,995,115000
5,1938,1582,150000
5,1925,1072,126500
6,1916,2134,214500
7,1910,2019,167500
6,1915,1768,155000
7,1915,1826,155000
7,1915,1944,179900
6,1912,2229,104000
5,1922,2128,62500
6,1927,1930,149000
4,1925,1208,103000
6,1915,1427,123000
7,1902,1864,97500
6,1927,1666,135000
4,1923,892,70000
6,1915,1403,116000
4,1946,704,88750
5,1987,1200,179000
5,1987,1200,179000
5,1978,1152,159900
1,1922,904,61000
6,1925,1369,103600
5,1934,1112,63000
5,1963,1464,175000
5,1963,1121,139000
6,1978,1683,172500
5,1967,1052,113500
5,1967,899,130000
6,1978,1034,149900
5,1982,858,134900
5,1982,860,137000
5,1962,1092,139000
5,1961,1774,165000
6,1960,1138,148000
5,1956,2071,165000
2,1947,660,63900
4,1957,1788,161500
5,1968,1473,143000
4,1956,1229,135000
4,1940,861,82500
5,1955,1867,190000
3,1955,1733,139600
4,1954,1383,122000
6,1956,1689,127500
5,1956,1073,121500
5,1958,1276,60000
6,1946,1639,154400
4,1941,672,113000
5,1954,1089,125000
4,1957,845,84000
5,1984,1049,139500
5,1949,1716,131000
6,1939,1258,105000
4,1940,1510,108000
7,1990,1061,162000
6,1983,1338,156500
8,1983,2132,316600
7,1990,2196,271900
7,1993,1775,213000
7,1993,1879,239900
8,1995,2020,239500
5,1880,2016,131000
5,1979,1535,118964
5,1979,1224,153337
5,1979,2228,147983
5,1979,1535,118858
5,1979,1535,118858
5,1979,2240,142953
5,1979,1229,148325
5,1979,1513,113722
7,2000,2787,269500
7,2000,2787,269500
7,2000,2787,269500
9,2009,1680,323262
8,2007,1718,297000
8,2008,1630,295493
9,2008,1720,332000
8,2008,1468,239900
8,2007,1768,212000
8,2007,1838,272500
9,2007,1800,239000
7,2006,1604,220000
7,2007,1290,200000
8,2008,1254,221800
7,2007,1232,194500
8,2005,1498,237000
6,2005,1422,173000
7,1989,1644,275000
7,1992,1759,233500
5,1967,2126,185000
5,1996,1040,152000
5,1994,990,143000
6,1997,1764,231500
7,1996,1661,212000
7,1998,1463,207000
5,1994,1097,145000
5,1994,990,138000
7,1998,1779,197900
7,1999,1501,204000
7,1999,1431,192000
6,1998,1772,200000
7,2002,1660,195000
7,2002,1573,227000
7,2001,1840,230000
7,2001,1430,187100
7,2002,1444,203000
7,2001,1492,201000
5,1978,1040,124000
5,1978,907,140000
5,1979,914,134900
5,1977,1040,150500
5,1978,864,136500
5,1977,1268,143500
5,1972,864,133500
5,1972,894,123000
5,1972,768,133900
5,1972,768,133000
7,2002,1611,250000
8,2003,2184,254750
8,2001,1788,236500
8,2001,1872,261500
9,2000,2153,313000
7,2002,1725,198500
7,2001,1870,211000
8,1999,1513,220000
7,1996,1504,203000
8,2002,1828,279500
7,1997,1417,210000
7,1997,2034,219500
7,1996,1716,191000
7,2001,1212,178000
7,2000,1630,213000
6,2003,848,144000
6,2003,848,140000
8,2007,1602,293200
7,2004,1728,190000
7,2004,1500,190000
6,2005,1476,173500
6,2007,1396,170000
4,1949,1126,108000
5,1964,1486,167000
4,1938,816,100000
7,2003,1922,198500
6,1977,1426,159500
4,1960,1149,127000
6,1976,1125,125000
9,2007,1698,320000
6,2005,1072,145500
5,1947,698,118000
4,1959,876,85000
5,1950,1368,120000
4,1945,1529,98000
5,1922,864,99900
3,1952,944,82000
5,1959,1678,119900
5,1956,1560,103500
4,1956,960,112000
6,1920,1196,110000
5,1941,1298,122000
5,1941,1604,117000
5,1938,1268,160000
5,1932,1520,159434
2,1920,438,60000
6,1940,1489,139500
7,1920,3082,197000
6,1935,1242,105000
4,1928,1981,135000
6,1916,1232,147500
6,1925,1608,137450
7,1936,1135,155000
6,1928,1913,177000
7,1928,1477,145000
7,1918,1228,137000
7,1926,2080,234000
5,1940,1567,205000
6,1942,1494,177500
5,1940,1308,160000
5,1960,1273,155000
5,1921,964,163500
5,1921,1343,154900
7,1940,2480,205000
5,1954,1112,144800
7,1941,1564,174500
6,1960,1561,193000
5,1949,1523,158000
6,1950,1152,158500
6,1954,1906,224000
6,1980,1032,115000
6,1980,1229,137000
6,1980,1229,121000
6,1980,1229,124000
6,1986,1982,208000
7,1971,2365,315000
6,1988,1680,222000
5,1920,1344,147000
5,1900,2168,123000
5,1920,1192,78000
3,1915,1526,85000
4,1925,572,75000
8,2007,1648,230000
2,1910,810,57625
8,2000,2052,251000
7,2003,2149,239686
7,2004,1710,240000
6,2001,1961,215000
6,1977,926,156450
6,1977,1287,173000
5,1977,1734,126000
7,1990,1217,173000
5,1991,1595,152000
6,1958,1344,137500
7,1965,2036,375000
9,2007,1620,315500
7,2009,1692,224500
9,2008,2036,410000
9,2008,1641,316500
8,2007,1466,201000
6,1988,1412,175000
6,1980,2237,204000
7,1987,1479,213500
8,2001,1296,220000
7,2003,2014,170000
9,2006,1838,315000
9,2007,1978,425000
5,1968,1008,139500
5,1960,1771,115000
6,1998,1204,162000
6,1999,1224,165000
4,1973,988,91000
5,1968,874,130000
4,1970,630,86000
5,1969,1404,160000
4,1970,630,80000
4,1970,1344,97000
4,1970,1092,88000
5,1972,796,131900
6,1993,1091,131250
5,1978,1110,165500
5,1985,833,112000
5,1992,883,149000
5,1993,1362,143000
5,1992,1287,130000
6,1977,1567,196000
5,1969,1632,173000
6,1958,1414,176500
6,1970,2117,237500
6,1969,2112,206900
6,1997,1604,187500
6,1995,1470,165000
6,1998,1604,195500
6,1998,1638,192000
6,1996,1636,173000
5,1996,1384,177900
7,1996,1446,175000
8,2001,1593,286000
8,1997,1682,247900
8,1993,1337,180000
8,1992,1280,180000
6,1997,1604,181000
6,1998,1633,183000
6,1995,1658,188000
7,1994,1895,194500
6,1991,1709,185000
8,1988,1228,189000
8,1989,1337,188500
8,2005,2500,355000
9,2005,2504,325000
9,2004,1884,387000
6,1952,1474,115000
9,2007,1710,334000
6,1950,1488,133000
7,1986,2093,215000
7,1988,1688,226500
6,1981,1422,175500
7,1983,1260,181900
7,1978,2064,235000
7,1979,1782,220000
6,1977,2872,272000
6,1976,1211,161000
5,1977,1126,175000
7,1980,2044,185000
5,1969,1308,146900
7,1978,2840,292500
6,1976,1523,180000
6,1976,1444,159900
7,1976,1964,205000
5,1973,1178,157000
8,1996,2340,306000
5,1974,1792,133000
6,1969,1054,151000
4,1969,936,111900
5,1971,864,123000
4,1972,864,111250
6,1998,1337,181000
6,1973,987,103400
6,1973,987,100000
6,1972,987,100500
6,1970,987,106000
6,1971,987,85400
6,1971,987,89500
5,1972,1302,111750
6,1977,1069,140000
6,1975,1456,143000
7,1977,1055,148500
5,1966,892,110000
8,2008,1932,394617
10,2007,2332,426000
10,2007,2084,385000
9,2008,2713,446261
8,2007,1582,317500
8,2007,1710,372402
8,2007,2464,417500
9,2007,1950,383000
9,2006,2748,390000
10,2005,2790,460000
9,2005,2331,379000
8,2007,2088,250000
8,2004,2332,316000
10,2003,2470,615000
9,2003,2668,412500
7,2003,2046,284000
8,2003,1575,284000
8,2001,2649,421250
8,2003,2690,370000
9,2008,1866,336860
9,2008,1702,367294
7,2005,1367,192000
8,2003,1518,274000
9,2005,1684,266000
9,2007,1800,370967
8,2006,1342,234250
8,2006,1342,219500
7,2003,1626,155000
7,2003,1626,154000
7,2004,1358,207000
7,2003,1455,195000
7,2004,1576,219990
7,2005,1504,191000
7,2007,1266,159895
7,2007,1246,187687
6,2004,1515,179000
6,2004,1593,193000
7,2005,1166,190000
6,2005,1456,176000
7,2002,1720,188000
7,2003,1986,213000
7,2007,1358,217300
6,2000,1792,186500
7,2000,1892,226750
7,2004,1490,184000
7,2002,1414,176000
7,1999,2322,225000
7,1999,1651,185900
8,1997,2199,284500
8,1998,2630,315000
8,2000,2198,250000
9,2000,2172,291000
8,1998,2006,350000
7,1996,2125,279500
8,1995,2501,290000
8,1995,2113,350000
7,1993,2418,341000
7,1993,2197,287500
7,1994,2127,271000
8,1994,1987,301500
8,2007,1580,235128
6,2007,1933,214000
8,2006,1574,232000
7,2006,1578,240000
9,2008,1506,264132
8,2007,1563,245000
7,2008,1428,227680
8,2007,1861,257000
8,2007,1874,297900
8,2006,1460,247000
8,2007,1372,212700
7,2007,1372,250580
7,2007,1428,182000
7,2005,1768,226700
8,2003,1992,250000
7,2005,1958,250000
8,2007,2078,339750
7,2007,1665,205950
8,2007,1660,256000
7,2007,1218,230348
6,2003,1728,207500
7,2004,1080,141000
6,2003,1696,188000
7,2003,1663,192500
6,2005,1175,146000
5,2004,1114,159000
6,2003,1114,155000
6,2004,1640,173000
7,2007,1162,170000
6,1995,1609,182000
6,1993,1680,163000
6,1994,1679,193500
7,1994,1657,189000
6,2001,1677,190500
7,1992,1737,175000
6,1991,1294,179200
6,1993,1710,187000
6,1993,1617,193000
6,1993,1199,153900
5,1963,984,128000
5,1962,912,144000
5,1961,864,135000
5,1968,890,115000
5,1963,864,119916
6,1961,912,142000
6,1974,1430,192000
5,1972,1641,140000
6,1990,2683,290000
9,1993,2786,372500
7,2004,1391,196000
7,2006,1250,171900
7,2004,1245,178000
6,2005,1200,165000
7,2007,1392,146000
7,2007,1392,146000
7,1999,1501,179400
6,1999,1549,172900
9,2000,1638,300000
9,2001,1310,285000
9,2001,1419,290000
9,1999,1557,305000
9,1999,1709,328900
7,1999,1252,160000
7,1999,1404,170000
7,2001,1789,223000
8,1999,1586,170000
8,1999,1607,200000
10,1998,2393,345000
8,1996,1288,245500
8,1995,1239,217500
8,1993,1719,324000
6,1984,1232,162500
9,1977,2944,150000
8,1976,1671,290000
7,2002,1812,205000
7,1970,1682,174000
6,1969,1427,183000
6,1968,1740,150000
6,1971,1258,145000
7,1967,1620,215000
5,1965,1625,140500
6,1974,2614,240000
5,1968,1464,141000
5,1965,912,147000
5,1965,925,135000
5,1965,1728,145000
5,1965,1728,142600
5,1973,1656,135000
7,1971,1670,170000
8,1976,2715,299800
6,1974,1876,185000
6,1966,1632,173000
7,1961,999,178400
7,1968,1978,176000
5,1956,1014,98000
4,1957,907,109008
4,1956,952,135750
5,1963,1128,155000
6,1964,1425,180500
6,1966,1165,174900
6,1965,1136,140000
6,1964,1092,145000
5,1965,1265,179900
6,1964,1350,168500
5,1961,1114,140000
5,1959,1053,145500
6,1959,1252,142000
4,1960,1100,141000
5,1960,1118,153000
3,1949,720,72500
3,1935,729,52000
5,1939,1077,118000
4,1937,906,87000
5,1960,1496,141500
6,1950,1252,119000
5,1950,1337,141500
6,1955,1661,165500
5,1953,1036,112900
7,1965,1820,201800
6,1961,1362,163000
5,1961,1144,139950
6,1962,1537,174000
6,1962,1431,165000
6,1966,1988,227000
5,1955,1098,135000
5,1963,1144,124000
5,1962,1283,140000
5,1957,1176,136500
5,1959,1440,185000
6,1958,1261,163000
6,1958,1570,166800
6,1956,1196,139000
6,1957,1392,166000
6,1958,1080,136000
5,1956,1104,133000
5,1952,882,116000
5,1953,1152,137500
5,1953,950,130000
6,1957,1790,180000
5,1951,952,139000
5,1953,773,110000
5,1957,1764,100000
5,1947,1216,118500
5,1957,1824,146000
4,1948,869,89900
5,1925,1159,114000
5,1945,1558,140000
4,1940,672,86900
5,1922,1436,139000
4,1900,1294,106250
6,1962,1716,171000
5,1968,1044,139000
7,1958,1312,186000
6,1960,1253,157000
6,1960,1081,148000
7,1960,2069,242000
5,1953,910,116000
5,1951,876,94000
5,1950,1048,98300
5,1960,1507,127000
5,1959,1256,159000
5,1962,1027,125900
5,1960,1269,155000
6,1948,1320,138000
6,1954,984,112500
6,1954,832,105500
6,1954,1278,127500
5,1961,1800,130000
5,1955,1588,150000
5,1954,825,109500
6,1963,1796,140000
6,1964,1611,167900
5,1963,1117,136870
6,2008,1133,143000
